timestamp,x,y,z
1719238382607,-2.5038168,-0.3053435,-1.9389313
1719238382627,-2.351145,-0.47328246,-1.9541985
1719238382647,-2.3206108,-0.77862597,-2.2290077
1719238382667,-2.0458016,-0.8549618,-2.4885497
1719238382687,-1.4351145,-0.6259542,-2.5038168
1719238382707,-0.70229006,-0.610687,-2.4732823
1719238382727,-0.091603056,-1.0229008,-2.3664122
1719238382747,0.3816794,-1.0229008,-2.2900763
1719238382767,0.48854962,-0.9160305,-2.351145
1719238382787,0.70229006,-1.0839695,-2.519084
1719238382807,0.99236643,-1.3435115,-2.519084
1719238382827,1.1145039,-1.648855,-2.6259542
1719238382847,1.29771,-1.6335878,-2.778626
1719238382867,1.4198474,-1.4503816,-2.946565
1719238382887,1.4351145,-1.7099236,-2.870229
1719238382907,1.3282443,-1.908397,-2.6717558
1719238382927,1.2519084,-1.8931298,-2.5801528
1719238382947,1.2366412,-1.8931298,-2.3664122
1719238382967,1.1450381,-1.8625954,-2.1221373
1719238382987,0.99236643,-1.8778626,-2.1068702
1719238383007,0.64122134,-1.6946565,-2.2900763
1719238383027,0.29007635,-1.5725191,-2.4732823
1719238383047,0.0,-1.5419847,-2.427481
1719238383067,-0.15267175,-1.4351145,-2.3053436
1719238383087,-0.33587787,-1.3740458,-2.2442749
1719238383107,-0.519084,-1.129771,-2.2748091
1719238383127,-0.5801527,-0.8244275,-2.1984732
1719238383147,-0.67175573,-0.67175573,-2.259542
1719238383167,-0.519084,-0.65648854,-2.3816793
1719238383187,-0.36641222,-0.77862597,-2.5496182
1719238383207,-0.39694658,-0.97709924,-2.6717558
1719238383227,-0.4427481,-1.221374,-2.5648854
1719238383247,-0.32061067,-1.3740458,-2.5496182
1719238383267,-0.16793893,-1.3435115,-2.6259542
1719238383287,-0.061068702,-1.2366412,-2.7328243
1719238383307,0.122137405,-1.221374,-2.7175572
1719238383327,0.41221374,-1.221374,-2.5801528
1719238383347,0.67175573,-0.99236643,-2.519084
1719238383367,0.67175573,-0.9312977,-2.5801528
1719238383387,0.5648855,-0.77862597,-2.6412213
1719238383407,0.39694658,-1.0076336,-2.687023
1719238383427,0.091603056,-1.4351145,-2.8091602
1719238383447,0.045801528,-1.9236641,-2.9160306
1719238383467,0.030534351,-2.1374047,-3.0229008
1719238383487,-0.07633588,-2.3053436,-3.0992367
1719238383507,-0.16793893,-2.4580152,-3.1603053
1719238383527,-0.030534351,-2.4732823,-3.389313
1719238383547,0.32061067,-2.1984732,-3.664122
1719238383567,0.48854962,-2.0458016,-3.8625953
1719238383587,1.0076336,-2.5648854,-4.442748
1719238383607,1.9236641,-3.3587787,-5.2061067
1719238383627,1.8778626,-3.9694657,-5.2824426
1719238383647,0.70229006,-3.8931298,-4.70229
1719238383667,-0.39694658,-3.9541984,-4.0458016
1719238383687,-0.8244275,-4.1374044,-3.6183207
1719238383707,-0.47328246,-3.9847329,-3.8931298
1719238383727,0.18320611,-3.4503818,-4.412214
1719238383747,0.3053435,-2.427481,-4.8702292
1719238383767,0.29007635,-1.4961832,-5.480916
1719238383787,0.39694658,-1.4656489,-5.6183205
1719238383807,0.45801526,-1.480916,-5.114504
1719238383827,0.6259542,-1.3740458,-4.519084
1719238383847,0.64122134,-1.5725191,-4.6564884
1719238383867,0.39694658,-2.0458016,-5.557252
1719238383887,-0.030534351,-2.6412213,-6.4732823
1719238383907,-0.29007635,-2.961832,-7.0076337
1719238383927,-0.16793893,-3.3282442,-7.3435116
1719238383947,0.4427481,-4.0458016,-7.2519083
1719238383967,1.0076336,-4.5801525,-6.2442746
1719238383987,1.2061069,-3.8931298,-5.221374
1719238384007,1.0534351,-3.740458,-4.9007635
1719238384027,1.1755725,-3.572519,-5.145038
1719238384047,2.0458016,-3.465649,-5.5419846
1719238384067,2.183206,-2.534351,-5.6946564
1719238384087,1.4656489,-1.4198474,-6.1374044
1719238384107,0.8396947,-0.3053435,-6.7938933
1719238384127,0.610687,0.259542,-6.59542
1719238384147,0.18320611,-0.015267176,-5.557252
1719238384167,-0.3816794,-0.16793893,-4.6412215
1719238384187,-0.47328246,0.35114503,-4.0152674
1719238384207,-0.53435117,0.8854962,-3.053435
1719238384227,-1.0076336,0.64122134,-2.2900763
1719238384247,-1.3282443,0.48854962,-2.442748
1719238384267,-1.5267175,0.27480915,-2.8396947
1719238384287,-1.6793894,0.27480915,-3.1145039
1719238384307,-1.9541985,0.091603056,-3.1755726
1719238384327,-2.0610688,-0.07633588,-3.2519083
