timestamp,x,y,z
1711035666725,3.053435,-3.3587787,-1.1832061
1711035666735,2.5114503,-6.3893127,-0.22900763
1711035666745,2.1068702,-5.412214,0.32061067
1711035666755,2.7175572,-1.5114504,0.0
1711035666765,2.2290077,1.4198474,-0.8854962
1711035666775,1.7328244,2.0,-1.5038168
1711035666785,0.8854962,-0.8396947,-1.4198474
1711035666796,-0.2519084,-5.740458,-1.2137405
1711035666805,-1.3206106,-8.625955,-0.9160305
1711035666815,-2.0839694,-9.030535,-0.90076333
1711035666825,-1.9923664,-6.740458,-1.9541985
1711035666835,-1.4580153,-1.8778626,-2.793893
1711035666845,-1.5572519,2.9389312,-3.3740458
1711035666855,-1.8091604,6.4885497,-3.648855
1711035666865,-2.1221373,7.4885497,-3.5419848
1711035666875,-2.7709923,5.7709923,-3.1450381
1711035666885,-3.038168,2.6946564,-2.4351146
1711035666895,-2.8854961,0.022900764,-1.9389313
1711035666905,-2.5496182,-1.6030535,-1.6412214
1711035666915,-1.648855,-1.2748091,-1.5725191
1711035666925,-0.64122134,-0.4427481,-1.4274809
1711035666935,0.22137405,0.045801528,-1.5725191
1711035666945,0.9160305,-0.67175573,-1.9770992
1711035666955,2.2366412,-1.167939,-2.870229
1711035666965,3.2137403,-0.053435113,-3.206107
1711035666975,2.793893,0.49618322,-3.4198472
1711035666985,2.0076337,0.77862597,-3.1908398
1711035666996,0.48854962,-1.1526718,-2.6183207
1711035667006,-1.2290076,-3.40458,-1.9465649
1711035667015,-1.6183206,-4.5114503,-1.3129771
1711035667025,-1.3740458,-4.7862597,-0.8015267
1711035667036,-0.19847329,-4.076336,-0.7251908
1711035667045,1.3664122,-2.0229008,-1.1450381
1711035667055,2.312977,0.13740458,-1.70229
1711035667066,1.908397,2.4961832,-2.3740458
1711035667075,1.0992366,4.6793895,-2.8396947
1711035667085,-0.08396947,6.1603055,-2.9007633
1711035667096,-1.0305344,6.557252,-2.9770992
1711035667105,-1.3740458,5.5496182,-3.091603
1711035667114,-0.13740458,4.625954,-3.206107
1711035667126,1.4274809,3.9007633,-3.6335878
1711035667134,3.1450381,4.7480917,-3.7251909
1711035667144,4.0229006,5.8702292,-3.6412213
1711035667155,3.7328243,6.7938933,-3.1450381
1711035667164,2.442748,6.59542,-2.70229
1711035667175,1.0152671,4.0229006,-2.4885497
1711035667185,0.26717559,-0.5648855,-2.1221373
1711035667195,-0.70229006,-5.6946564,-1.6259542
1711035667205,-1.3358779,-8.038168,-1.1145039
