timestamp,x,y,z
1719240507942,500.25955,10.824428,2.0305343
1719240507962,500.25955,31.862595,-13.511451
1719240507982,446.99237,49.038166,-23.25191
1719240508002,313.5267,52.38168,-32.15267
1719240508022,197.46565,43.435116,-41.14504
1719240508042,140.41222,30.91603,-45.23664
1719240508062,94.68702,19.389313,-53.190838
1719240508083,68.54962,10.442748,-60.244274
1719240508102,55.603054,4.9770994,-68.9313
1719240508122,40.091602,1.908397,-71.66412
1719240508142,28.87023,4.671756,-74.61069
1719240508162,23.022902,4.961832,-62.59542
1719240508182,15.4198475,-0.70229006,-35.816795
1719240508202,2.4885497,-2.2442749,-21.343512
1719240508222,-9.557252,1.5267175,-13.374045
1719240508242,-14.977099,2.8854961,-8.076336
1719240508262,-8.656488,2.6412213,-9.175572
1719240508282,-0.99236643,2.0305343,-10.2595415
1719240508302,0.5648855,-0.39694658,-7.4961834
1719240508322,-0.32061067,-3.832061,-4.0152674
1719240508342,0.030534351,-4.1679387,-3.389313
1719240508362,-2.0458016,-2.8854961,-4.0458016
1719240508382,-4.9160304,-2.0305343,-4.9007635
1719240508402,-9.236641,1.8167939,-10.015267
1719240508422,-18.961832,3.6030533,-17.25191
1719240508442,-22.152672,-0.8396947,-21.57252
1719240508462,-23.114504,-5.923664,-19.847328
1719240508482,-24.0,-7.145038,-26.534351
1719240508502,-28.625954,-6.8244276,-35.160305
1719240508522,-46.396946,-11.435115,-39.84733
1719240508542,-62.610687,-17.007633,-42.931297
1719240508562,-70.8855,-24.091602,-38.412212
1719240508582,-83.0229,-38.44275,-31.007633
1719240508602,-92.59542,-55.099236,-29.160305
1719240508622,-94.32061,-66.503815,-25.93893
1719240508642,-35.923664,-34.809162,-52.12214
1719240508662,-19.053434,6.6870227,-88.61069
1719240508682,-30.335878,15.175572,-81.75572
1719240508702,-19.465649,25.67939,-77.16031
1719240508722,-124.12214,-18.70229,-61.114502
1719240508742,-342.87024,-86.99236,-38.015266
1719240508762,-101.08397,-31.419847,-72.229004
1719240508782,-35.587788,-9.038168,-46.427483
1719240508802,-7.221374,-3.8778627,-16.74809
1719240508822,-1.9236641,-1.7251909,-6.6564884
1719240508842,1.0992366,-1.4045801,-3.8473282
1719240508862,1.4198474,-1.1908396,-2.9770992
1719240508882,1.2824427,-1.0839695,-2.7480917
1719240508902,1.1908396,-1.0229008,-2.70229
1719240508922,1.221374,-1.0076336,-2.7328243
1719240508942,1.2671756,-1.0229008,-2.7328243
1719240508962,1.2671756,-1.038168,-2.6717558
1719240508983,1.2366412,-1.038168,-2.687023
1719240509002,1.2519084,-1.0076336,-2.6717558
1719240509022,1.221374,-0.99236643,-2.687023
1719240509042,1.221374,-0.97709924,-2.6717558
1719240509062,1.2671756,-0.9465649,-2.70229
1719240509082,1.2519084,-0.96183205,-2.7175572
1719240509102,1.221374,-1.038168,-2.687023
1719240509122,1.2061069,-1.0229008,-2.6717558
1719240509142,1.221374,-1.0229008,-2.70229
1719240509162,1.2824427,-0.97709924,-2.6717558
1719240509182,1.2519084,-0.9465649,-2.7328243
1719240509202,1.2366412,-1.0229008,-2.7175572
1719240509222,1.221374,-1.0229008,-2.70229
1719240509242,1.2824427,-1.0229008,-2.70229
1719240509262,1.2519084,-1.0534351,-2.687023
1719240509283,1.1908396,-1.0534351,-2.70229
1719240509302,1.1908396,-1.0534351,-2.7633588
1719240509322,1.2519084,-0.97709924,-2.7328243
1719240509342,1.2671756,-1.0076336,-2.70229
1719240509362,1.2366412,-1.038168,-2.70229
1719240509382,1.2061069,-1.0229008,-2.687023
1719240509402,1.1908396,-1.0534351,-2.70229
1719240509422,1.2061069,-1.0534351,-2.70229
1719240509442,1.2366412,-1.0534351,-2.7480917
1719240509462,1.2671756,-0.99236643,-2.687023
1719240509482,1.3129771,-1.0076336,-2.70229
1719240509502,1.2519084,-0.99236643,-2.70229
1719240509522,1.1755725,-0.99236643,-2.70229
1719240509542,1.2061069,-1.0229008,-2.70229
1719240509562,1.2366412,-0.99236643,-2.7175572
1719240509582,1.221374,-0.99236643,-2.70229
1719240509602,1.221374,-0.99236643,-2.70229
1719240509622,1.1908396,-1.0076336,-2.70229
1719240509642,1.2519084,-1.0076336,-2.6717558
1719240509662,1.2824427,-1.038168,-2.6717558
1719240509682,1.29771,-1.0534351,-2.687023
1719240509702,1.2366412,-1.038168,-2.70229
1719240509722,1.1908396,-0.99236643,-2.70229
1719240509742,1.2366412,-1.038168,-2.70229
1719240509762,1.2366412,-1.0839695,-2.7175572
1719240509782,1.2061069,-1.0229008,-2.7175572
1719240509802,1.1450381,-1.0076336,-2.687023
1719240509823,1.221374,-1.038168,-2.6717558
1719240509842,1.221374,-1.0076336,-2.687023
1719240509862,1.2519084,-1.038168,-2.70229
1719240509883,1.1908396,-1.038168,-2.687023
1719240509902,1.221374,-1.1145039,-2.687023
1719240509922,1.2671756,-1.1145039,-2.687023
1719240509942,1.221374,-1.0687023,-2.7175572
1719240509962,1.2061069,-1.0687023,-2.7175572
1719240509982,1.1755725,-1.0534351,-2.7633588
1719240510002,1.2366412,-1.038168,-2.7328243
1719240510022,1.2519084,-1.0534351,-2.70229
1719240510042,1.2519084,-1.0229008,-2.7480917
1719240510063,1.2519084,-0.99236643,-2.7328243
1719240510082,1.2366412,-0.99236643,-2.7175572
1719240510102,1.2366412,-0.99236643,-2.6717558
1719240510123,1.2519084,-1.0076336,-2.687023
1719240510142,1.2366412,-1.0229008,-2.687023
1719240510162,1.2366412,-0.99236643,-2.687023
1719240510182,1.2366412,-1.0229008,-2.7328243
1719240510202,1.2366412,-1.038168,-2.7480917
1719240510222,1.2519084,-1.0076336,-2.7328243
1719240510242,1.2519084,-1.0076336,-2.687023
1719240510262,1.2061069,-0.97709924,-2.70229
1719240510282,1.1908396,-0.9465649,-2.7175572
1719240510303,1.2366412,-0.97709924,-2.7328243
