timestamp,x,y,z
1719238382607,9.752781,0.1388637,0.40940848
1719238382627,9.774328,0.11372458,0.40462008
1719238382647,9.834184,0.14604631,0.4333505
1719238382667,9.850345,0.16220717,0.44891283
1719238382687,9.787497,0.08379706,0.43873745
1719238382707,9.728839,0.065242,0.47405192
1719238382727,9.764751,0.1388637,0.49081135
1719238382747,9.786898,0.18136078,0.5129577
1719238382767,9.749788,0.19871874,0.5243302
1719238382787,9.752781,0.18734628,0.46567222
1719238382807,9.753978,0.18136078,0.50278234
1719238382827,9.784504,0.19692309,0.5021838
1719238382847,9.798869,0.20051439,0.47405192
1719238382867,9.758167,0.23523031,0.54168814
1719238382887,9.766547,0.25438392,0.5117606
1719238382907,9.755774,0.21667525,0.5033809
1719238382927,9.773131,0.1933318,0.47884035
1719238382947,9.8276,0.20470424,0.46267948
1719238382967,9.844957,0.20410569,0.50397944
1719238382987,9.874287,0.23582886,0.51714754
1719238383007,9.8677025,0.27832595,0.54168814
1719238383027,9.816227,0.2837129,0.52073884
1719238383047,9.759365,0.20949265,0.47884035
1719238383067,9.781511,0.19812019,0.48722005
1719238383087,9.8754835,0.23582886,0.51355624
1719238383107,9.903615,0.25378537,0.4866215
1719238383127,9.838972,0.22146365,0.5201403
1719238383147,9.779716,0.19632454,0.51834464
1719238383167,9.770737,0.19752164,0.52133745
1719238383187,9.759963,0.21188685,0.5141548
1719238383207,9.788095,0.20649989,0.49559975
1719238383227,9.794679,0.20350714,0.47285482
1719238383247,9.818023,0.19572599,0.47165772
1719238383267,9.82341,0.17417817,0.45070848
1719238383287,9.7958765,0.18495208,0.48362875
1719238383307,9.804854,0.18136078,0.4938041
1719238383327,9.824607,0.15801731,0.47165772
1719238383347,9.834184,0.16639702,0.49440265
1719238383367,9.831789,0.22146365,0.44352585
1719238383387,9.7402115,0.22864626,0.4309563
1719238383407,9.6923275,0.23343466,0.44891283
1719238383427,9.722255,0.21787235,0.439336
1719238383447,9.749189,0.19572599,0.40880993
1719238383467,9.7240505,0.18674773,0.41240123
1719238383487,9.698313,0.19572599,0.43394905
1719238383507,9.694122,0.16759412,0.4441244
1719238383527,9.744401,0.14065935,0.4285621
1719238383547,9.725846,0.15442601,0.415394
1719238383567,9.615712,0.15502456,0.42556936
1719238383587,9.616311,0.12808979,0.4189853
1719238383607,9.797672,0.17238252,0.39504328
1719238383627,9.894038,0.26755205,0.43993455
1719238383647,9.834782,0.19512744,0.46567222
1719238383667,9.853337,0.08020575,0.4285621
1719238383687,9.954493,0.061052144,0.3764882
1719238383707,10.086772,0.1448492,0.36631286
1719238383727,10.111911,0.2124854,0.39025488
1719238383747,9.987412,0.24959552,0.4213795
1719238383767,9.8515415,0.28072014,0.44891283
1719238383787,9.816227,0.30526072,0.40282443
1719238383807,9.745598,0.2681506,0.3549404
1719238383827,9.655815,0.25917232,0.32441434
1719238383847,9.627684,0.31603462,0.33758244
1719238383867,9.701904,0.4201824,0.33638534
1719238383887,9.701904,0.4189853,0.32022446
1719238383907,9.624691,0.29927522,0.28670564
1719238383927,9.582193,0.23163901,0.29628247
1719238383947,9.737817,0.31304187,0.3561375
1719238383967,9.877279,0.33877954,0.23702596
1719238383987,9.794081,0.2148796,0.29149407
1719238384007,9.81503,0.19512744,0.27593175
1719238384027,9.982025,0.2633622,0.2765303
1719238384047,10.104729,0.4141969,0.21308395
1719238384067,10.031107,0.4141969,0.26515785
1719238384087,9.985617,0.4866215,0.25079262
1719238384107,9.997588,0.59495914,0.21308395
1719238384127,9.91798,0.54767364,0.2220622
1719238384147,9.818023,0.48123455,0.23463176
1719238384167,9.856929,0.49440265,0.17657238
1719238384187,9.946113,0.56323594,0.08798691
1719238384207,9.833585,0.581791,0.11731588
1719238384227,9.7084875,0.5291186,0.142455
1719238384247,9.759963,0.5434838,0.14844051
1719238384267,9.824607,0.6368576,0.1376666
1719238384287,9.764751,0.65062433,0.17058687
1719238384307,9.674371,0.5758055,0.1592144
1719238384327,9.637859,0.56563014,0.20649989
