timestamp,x,y,z
1719240507942,2.5923219,-3.0358477,9.615114
1719240507962,2.010531,-0.57281274,9.169194
1719240507982,1.6364368,1.2024878,8.811261
1719240508002,1.4065934,2.4552538,9.0794115
1719240508022,1.5065514,2.8491,9.288904
1719240508042,1.1731589,3.4757824,9.388264
1719240508062,1.002572,3.9360676,9.509171
1719240508083,0.8631097,4.0306387,9.328408
1719240508102,0.75357497,4.280234,9.213487
1719240508122,0.7170634,4.361637,9.197925
1719240508142,0.6536171,4.5340195,9.283517
1719240508162,0.3274071,5.21098,9.522339
1719240508182,0.04129998,5.283405,9.528324
1719240508202,0.093373865,5.295376,9.223063
1719240508222,0.1436521,5.063138,9.094974
1719240508242,0.032920275,4.9559975,9.218275
1719240508262,0.34356794,4.709395,9.379884
1719240508282,0.5566519,4.5142674,9.267356
1719240508302,0.492607,4.496909,9.223662
1719240508322,0.11252748,4.758476,9.212888
1719240508342,5.985504E-4,4.71957,9.218874
1719240508362,0.16699557,4.691438,9.346964
1719240508382,0.25198972,4.71957,9.365519
1719240508402,0.22984336,4.6920366,9.303269
1719240508422,0.2645593,4.343082,9.23683
1719240508442,0.362123,4.3658266,9.257181
1719240508462,0.44771573,4.2700586,9.513959
1719240508482,0.40282443,4.333505,9.584588
1719240508502,0.4285621,4.0623617,9.563639
1719240508522,0.6380547,3.774459,9.657013
1719240508542,0.7930793,3.6822822,9.709685
1719240508562,0.95229375,3.5541923,9.852738
1719240508582,1.0642227,3.0268695,9.981427
1719240508602,1.2521675,2.6126726,9.738416
1719240508622,1.4083891,1.3341689,8.789114
1719240508642,0.6793547,1.347337,8.182783
1719240508662,0.2112883,2.7168205,9.019556
1719240508682,0.038307227,2.4199393,8.695741
1719240508702,-0.44891283,1.5161282,8.22947
1719240508722,-0.44711718,3.0615854,10.398018
1719240508742,0.50158525,-0.7374141,12.107478
1719240508762,-0.66498953,1.2593501,11.468226
1719240508782,-0.90979666,0.7194576,10.729615
1719240508802,0.3441665,0.84096336,10.404003
1719240508822,0.6039374,0.34835634,10.400413
1719240508842,0.6877344,0.36391866,10.358514
1719240508862,0.7248446,0.41000703,10.3639
1719240508882,0.717662,0.4309563,10.324995
1719240508902,0.6943185,0.39145198,10.351331
1719240508922,0.6799533,0.40821138,10.350733
1719240508942,0.6931214,0.4213795,10.356119
1719240508962,0.7062895,0.45010993,10.355521
1719240508983,0.7116765,0.4357447,10.328587
1719240509002,0.7248446,0.40043023,10.365098
1719240509022,0.7260417,0.38606504,10.348338
1719240509042,0.7188591,0.3866636,10.336368
1719240509062,0.7038953,0.40880993,10.357317
1719240509082,0.6997054,0.4381389,10.347141
1719240509102,0.688333,0.43993455,10.353127
1719240509122,0.7032967,0.42916065,10.354922
1719240509142,0.70509243,0.40162733,10.34355
1719240509162,0.7044938,0.39863458,10.341156
1719240509182,0.7194576,0.4165911,10.363302
1719240509202,0.7314286,0.41838676,10.36031
1719240509222,0.7218518,0.41000703,10.352529
1719240509242,0.717662,0.41479546,10.362105
1719240509262,0.7098808,0.44771573,10.36031
1719240509283,0.7026982,0.4285621,10.362703
1719240509302,0.6973112,0.3824737,10.342353
1719240509322,0.7038953,0.39324763,10.359112
1719240509342,0.7194576,0.4201824,10.362105
1719240509362,0.7194576,0.44113165,10.354323
1719240509382,0.7164649,0.43993455,10.354323
1719240509402,0.7188591,0.41359833,10.367492
1719240509422,0.7092823,0.39085343,10.371083
1719240509442,0.6961141,0.39683893,10.352529
1719240509462,0.6889315,0.41718966,10.359112
1719240509482,0.705691,0.44232875,10.34774
1719240509502,0.7116765,0.42676646,10.341156
1719240509522,0.7128736,0.40222588,10.354922
1719240509542,0.7200562,0.39923313,10.348338
1719240509562,0.7152678,0.40821138,10.354922
1719240509582,0.7074866,0.4285621,10.375273
1719240509602,0.6973112,0.42676646,10.367492
1719240509622,0.7026982,0.39683893,10.347141
1719240509642,0.7098808,0.38965634,10.35193
1719240509662,0.7284359,0.42437226,10.364499
1719240509682,0.7332243,0.4381389,10.3453455
1719240509702,0.7308301,0.41000703,10.354922
1719240509722,0.712275,0.38965634,10.373477
1719240509742,0.7092823,0.4165911,10.353127
1719240509762,0.6979098,0.45010993,10.362703
1719240509782,0.6925228,0.4297592,10.359112
1719240509802,0.6925228,0.3812766,10.357317
1719240509823,0.7140707,0.39205053,10.355521
1719240509842,0.7308301,0.427365,10.359711
1719240509862,0.7254431,0.4345476,10.341754
1719240509883,0.724246,0.39564183,10.355521
1719240509902,0.7146692,0.39205053,10.366894
1719240509922,0.6973112,0.41718966,10.350134
1719240509942,0.6955156,0.44831428,10.361506
1719240509962,0.6919243,0.4249708,10.344747
1719240509982,0.6967127,0.3824737,10.333375
1719240510002,0.7188591,0.39624038,10.333973
1719240510022,0.7254431,0.4321534,10.317812
1719240510042,0.7374141,0.43993455,10.33517
1719240510063,0.7266402,0.40641573,10.344747
1719240510082,0.7044938,0.37469256,10.333973
1719240510102,0.6979098,0.39863458,10.358514
1719240510123,0.7026982,0.42437226,10.362703
1719240510142,0.7038953,0.4441244,10.371682
1719240510162,0.7152678,0.42676646,10.354922
1719240510182,0.7182605,0.39983168,10.336966
1719240510202,0.7248446,0.38965634,10.337564
1719240510222,0.7152678,0.40342298,10.352529
1719240510242,0.7164649,0.4249708,10.327988
1719240510262,0.7026982,0.43035775,10.35193
1719240510282,0.7009025,0.40102878,10.339958
1719240510303,0.70509243,0.40581718,10.33936
1719240510322,0.7140707,0.43514615,10.366295
1719240510342,0.7254431,0.4441244,10.36031
1719240510362,0.7356185,0.40102878,10.35193
1719240510382,0.7206547,0.3800795,10.3770685
1719240510402,0.7068881,0.40102878,10.341754
1719240510422,0.7116765,0.439336,10.355521
1719240510442,0.70509243,0.44232875,10.378265
1719240510462,0.6943185,0.41359833,10.341754
1719240510482,0.7009025,0.39145198,10.360908
1719240510502,0.7170634,0.40462008,10.350733
1719240510522,0.7200562,0.43155485,10.347141
1719240510542,0.7278373,0.43155485,10.372879
1719240510562,0.7212533,0.40102878,10.368689
1719240510582,0.7182605,0.39264908,10.357317
1719240510603,0.7080852,0.4297592,10.356119
1719240510622,0.7009025,0.4297592,10.353725
1719240510642,0.7080852,0.40162733,10.358514
1719240510663,0.7152678,0.37469256,10.359711
1719240510682,0.7188591,0.40462008,10.366894
1719240510702,0.7230489,0.4441244,10.345944
1719240510723,0.7212533,0.44951138,10.360908
1719240510742,0.7104794,0.40222588,10.362703
1719240510762,0.7026982,0.3693056,10.350733
1719240510782,0.7015011,0.40880993,10.3639
1719240510802,0.7098808,0.45429978,10.353127
1719240510822,0.7110779,0.4333505,10.336966
1719240510843,0.7044938,0.39743748,10.3639
1719240510862,0.70509243,0.40102878,10.354922
1719240510882,0.717662,0.42676646,10.355521
1719240510902,0.7182605,0.43754035,10.371083
1719240510922,0.7248446,0.41299978,10.348338
1719240510942,0.7158663,0.39205053,10.362105
1719240510963,0.7086837,0.41120413,10.36031
1719240510982,0.7164649,0.41359833,10.350134
1719240511002,0.712275,0.43035775,10.353127
1719240511022,0.6991069,0.4177882,10.34355
1719240511042,0.7086837,0.3854665,10.351331
1719240511062,0.7110779,0.4165911,10.394426
1719240511082,0.7284359,0.43035775,10.358514
1719240511102,0.7314286,0.44352585,10.363302
1719240511122,0.7218518,0.39324763,10.371083
1719240511143,0.7152678,0.39564183,10.362105
1719240511162,0.7140707,0.42796355,10.34355
1719240511182,0.7188591,0.44113165,10.366894
1719240511202,0.7062895,0.4177882,10.346542
1719240511222,0.7098808,0.39803603,10.341754
1719240511242,0.717662,0.40521863,10.359112
1719240511262,0.7248446,0.43873745,10.353127
1719240511282,0.7164649,0.4285621,10.354922
1719240511302,0.7206547,0.39863458,10.348937
1719240511322,0.7140707,0.3890578,10.365696
1719240511342,0.7068881,0.42676646,10.362105
1719240511362,0.6973112,0.45489833,10.344747
1719240511383,0.694917,0.4297592,10.353127
1719240511402,0.7128736,0.39504328,10.341156
1719240511422,0.7116765,0.39324763,10.349535
1719240511443,0.7188591,0.4189853,10.342952
1719240511462,0.7344214,0.45429978,10.350733
1719240511482,0.7272388,0.42556936,10.358514
1719240511502,0.7272388,0.40282443,10.352529
1719240511522,0.6967127,0.39923313,10.356119
1719240511542,0.694917,0.40641573,10.356718
1719240511562,0.6937199,0.43035775,10.350134
1719240511582,0.7158663,0.43275195,10.356119
1719240511602,0.7284359,0.39863458,10.341754
1719240511623,0.7284359,0.39504328,10.342353
1719240511642,0.7236475,0.4177882,10.344747
1719240511662,0.7146692,0.4261679,10.361506
1719240511683,0.7116765,0.40641573,10.366295
1719240511702,0.7038953,0.40162733,10.352529
1719240511722,0.7038953,0.41479546,10.368091
1719240511742,0.712275,0.42916065,10.366894
1719240511762,0.729633,0.41299978,10.361506
1719240511782,0.7284359,0.41240123,10.350134
1719240511802,0.7266402,0.4165911,10.348937
1719240511822,0.7206547,0.42317516,10.354323
1719240511842,0.7074866,0.42317516,10.359112
1719240511863,0.70509243,0.4141969,10.363302
1719240511882,0.712275,0.42197806,10.358514
1719240511902,0.7164649,0.42197806,10.342353
1719240511923,0.7092823,0.4297592,10.348338
1719240511942,0.7146692,0.40581718,10.353725
1719240511962,0.7206547,0.40521863,10.369886
1719240511983,0.7260417,0.41359833,10.35193
1719240512002,0.717662,0.4261679,10.351331
1719240512022,0.7104794,0.4213795,10.373477
1719240512042,0.7104794,0.41299978,10.369886
1719240512062,0.7188591,0.41479546,10.353725
1719240512082,0.7200562,0.40641573,10.353725
1719240512102,0.7266402,0.41838676,10.34355
1719240512122,0.7272388,0.4345476,10.35193
1719240512142,0.7236475,0.439336,10.359112
1719240512163,0.7224504,0.41479546,10.342353
1719240512182,0.7080852,0.39324763,10.354922
1719240512202,0.705691,0.40282443,10.349535
1719240512223,0.7104794,0.43394905,10.374076
1719240512242,0.7134721,0.4441244,10.356718
1719240512262,0.7134721,0.40282443,10.353127
1719240512283,0.7188591,0.39564183,10.359112
1719240512302,0.7194576,0.42796355,10.361506
1719240512322,0.7284359,0.4417302,10.3692875
1719240512342,0.7266402,0.40940848,10.364499
1719240512362,0.7086837,0.38486794,10.366295
1719240512382,0.7188591,0.40940848,10.3639
1719240512403,0.717662,0.4369418,10.371083
1719240512422,0.7230489,0.427365,10.386047
1719240512442,0.7134721,0.4141969,10.353127
1719240512463,0.7218518,0.41240123,10.365696
1719240512482,0.712275,0.41838676,10.360908
1719240512502,0.7206547,0.40880993,10.346542
1719240512522,0.7236475,0.42078096,10.351331
1719240512542,0.7134721,0.43993455,10.35193
1719240512562,0.7026982,0.42556936,10.353725
1719240512583,0.700304,0.41958386,10.353725
1719240512602,0.7080852,0.4213795,10.350134
1719240512622,0.7086837,0.4429273,10.354323
1719240512642,0.7128736,0.4369418,10.355521
1719240512662,0.7098808,0.4141969,10.350134
1719240512682,0.7218518,0.38726214,10.353725
1719240512703,0.7356185,0.4213795,10.36031
1719240512722,0.729633,0.4213795,10.341156
1719240512742,0.7164649,0.40521863,10.357915
1719240512763,0.7092823,0.40402153,10.341156
1719240512782,0.7074866,0.42676646,10.357317
1719240512802,0.6913257,0.4141969,10.353725
1719240512823,0.6895301,0.4237737,10.357915
1719240512842,0.7068881,0.427365,10.356718
1719240512862,0.7260417,0.41958386,10.362105
1719240512882,0.7278373,0.39025488,10.354323
1719240512902,0.7254431,0.41000703,10.356119
1719240512922,0.7158663,0.4225766,10.34355
1719240512943,0.7218518,0.4285621,10.350134
1719240512962,0.712275,0.4297592,10.371083
1719240512982,0.7038953,0.41359833,10.368689
1719240513003,0.6967127,0.40043023,10.361506
1719240513022,0.7128736,0.40043023,10.358514
1719240513042,0.7254431,0.4333505,10.356119
1719240513063,0.7332243,0.4405331,10.365696
1719240513082,0.7164649,0.4189853,10.333973
1719240513102,0.7134721,0.39564183,10.33936
1719240513123,0.7104794,0.40102878,10.357915
1719240513142,0.7026982,0.4189853,10.3639
1719240513162,0.7140707,0.42556936,10.363302
1719240513182,0.7200562,0.4225766,10.384252
1719240513202,0.7218518,0.41120413,10.3639
1719240513222,0.7272388,0.39683893,10.371083
1719240513243,0.7284359,0.40043023,10.365696
1719240513262,0.717662,0.40880993,10.336368
1719240513282,0.7230489,0.43873745,10.357915
1719240513303,0.7116765,0.4249708,10.372879
1719240513322,0.700304,0.40701428,10.354323
1719240513342,0.6937199,0.39145198,10.359112
1719240513362,0.7009025,0.4225766,10.363302
1719240513382,0.712275,0.427365,10.356119
1719240513402,0.7320272,0.40282443,10.356119
1719240513423,0.7326257,0.3752911,10.353725
1719240513442,0.7272388,0.40761283,10.352529
1719240513462,0.7140707,0.43873745,10.344149
1719240513483,0.6991069,0.43394905,10.358514
1719240513502,0.6979098,0.40282443,10.350733
1719240513522,0.6955156,0.39324763,10.352529
1719240513543,0.7038953,0.4237737,10.351331
1719240513562,0.7206547,0.4381389,10.327988
1719240513582,0.7392098,0.4177882,10.346542
1719240513603,0.7182605,0.40162733,10.361506
1719240513622,0.7062895,0.38606504,10.374675
1719240513642,0.6937199,0.40761283,10.367492
1719240513663,0.6901286,0.43155485,10.346542
1719240513682,0.694917,0.43394905,10.349535
1719240513702,0.7074866,0.40880993,10.358514
1719240513722,0.717662,0.41718966,10.359112
1719240513742,0.7314286,0.4309563,10.356718
1719240513762,0.7344214,0.42916065,10.365098
1719240513783,0.7278373,0.40282443,10.357317
1719240513802,0.7098808,0.39264908,10.35193
1719240513822,0.7044938,0.41838676,10.375273
1719240513843,0.7092823,0.4249708,10.356718
1719240513862,0.7080852,0.4201824,10.336966
1719240513882,0.724246,0.41599256,10.359711
1719240513903,0.7284359,0.41180268,10.347141
1719240513922,0.7278373,0.4249708,10.350733
1719240513942,0.7152678,0.4381389,10.3770685
1719240513962,0.700304,0.4285621,10.345944
1719240513982,0.694917,0.42197806,10.357317
1719240514002,0.6931214,0.40761283,10.356718
1719240514024,0.7068881,0.42317516,10.3453455
1719240514042,0.7218518,0.42078096,10.353725
1719240514062,0.7302315,0.4165911,10.355521
1719240514083,0.7308301,0.4201824,10.351331
1719240514102,0.7212533,0.4177882,10.36031
1719240514122,0.712275,0.41359833,10.348937
1719240514143,0.700304,0.42556936,10.355521
1719240514162,0.6913257,0.43634325,10.362703
1719240514182,0.6979098,0.4213795,10.357915
1719240514203,0.7015011,0.41240123,10.347141
1719240514222,0.7164649,0.41000703,10.370484
1719240514242,0.7260417,0.42676646,10.35193
1719240514263,0.7278373,0.42676646,10.356119
1719240514282,0.7212533,0.40162733,10.364499
1719240514302,0.7092823,0.40342298,10.356718
1719240514323,0.6991069,0.4177882,10.350733
1719240514342,0.6985083,0.43394905,10.352529
1719240514362,0.6907272,0.4165911,10.350733
1719240514383,0.6967127,0.40043023,10.356119
1719240514402,0.7230489,0.40222588,10.357915
1719240514422,0.7320272,0.41359833,10.363302
1719240514443,0.7433996,0.42796355,10.358514
1719240514462,0.7284359,0.4309563,10.357915
1719240514482,0.712275,0.42796355,10.356119
1719240514502,0.6973112,0.40761283,10.36031
1719240514522,0.6919243,0.40162733,10.361506
1719240514542,0.7020996,0.42437226,10.359711
1719240514563,0.712275,0.44352585,10.353127
1719240514582,0.736217,0.4309563,10.361506
1719240514602,0.7422025,0.39923313,10.338761
1719240514623,0.736217,0.39384618,10.356119
1719240514642,0.712275,0.42437226,10.352529
1719240514662,0.694917,0.43035775,10.363302
1719240514683,0.688333,0.41359833,10.358514
1719240514702,0.6865373,0.41060558,10.366894
1719240514722,0.7140707,0.44651863,10.357317
1719240514743,0.7314286,0.45010993,10.357915
1719240514762,0.7505822,0.41299978,10.357915
1719240514782,0.7445967,0.3705027,10.357317
1719240514803,0.7272388,0.38606504,10.357915
1719240514822,0.7128736,0.43634325,10.354323
1719240514842,0.6991069,0.45489833,10.364499
1719240514863,0.6871359,0.42437226,10.371083
1719240514882,0.6943185,0.40521863,10.3692875
1719240514902,0.712275,0.40521863,10.352529
1719240514923,0.7182605,0.41838676,10.350134
1719240514942,0.7368156,0.4285621,10.348338
1719240514962,0.7356185,0.40821138,10.354922
1719240514982,0.7248446,0.3842694,10.362703
1719240515002,0.7116765,0.41060558,10.348937
1719240515022,0.688333,0.45848963,10.357317
1719240515043,0.7032967,0.44352585,10.3639
1719240515062,0.7044938,0.3866636,10.344747
1719240515082,0.7224504,0.374094,10.348338
1719240515103,0.7338228,0.42078096,10.350733
1719240515122,0.7320272,0.46267948,10.345944
1719240515142,0.724246,0.42796355,10.350733
1719240515163,0.7128736,0.3812766,10.354323
1719240515182,0.6991069,0.38187516,10.350733
1719240515202,0.6985083,0.4405331,10.36031
1719240515223,0.7152678,0.45848963,10.365696
1719240515242,0.7098808,0.427365,10.341754
1719240515262,0.7302315,0.38845924,10.357317
1719240515283,0.7230489,0.40162733,10.348937
1719240515302,0.7272388,0.4261679,10.349535
1719240515322,0.7404069,0.41479546,10.377667
1719240515343,0.7062895,0.4285621,10.385448
1719240515362,0.7062895,0.40821138,10.33936
1719240515382,0.7110779,0.38965634,10.361506
1719240515403,0.74639237,0.10594343,10.316615
1719240515422,0.9044097,-1.6514006,10.360908
1719240515442,1.417966,0.6871359,10.290877
1719240515463,1.9422961,0.9211691,10.244789
1719240515482,2.7036524,0.31423897,10.213066
1719240515502,2.5390508,0.52971715,10.277111
1719240515523,2.44029,0.30286652,10.178948
1719240515542,2.379238,0.1388637,10.302849
1719240515562,2.1398177,0.6003461,10.677541
1719240515583,1.8405426,0.6368576,10.972028
1719240515602,1.6256629,0.46567222,10.842741
1719240515622,2.0045455,0.9391256,10.48002
1719240515643,2.2990322,0.8451532,10.185533
1719240515662,2.0847511,0.84216046,10.471041
1719240515682,1.4119805,-0.07062895,10.002377
1719240515703,1.0564415,-0.27234045,9.288305
1719240515722,0.42556936,-0.39324763,9.731233
